,id,name,latitude,longitude,leisure,shop,tourism,railway,amenity,rating,reviews,price,url,price_cat
0,451152,King of Prussia,51.6008404,-0.1946078,,,,,bar,,,,,
1,451153,Central Restaurant,51.6020306,-0.1935029,,,,,restaurant,,,,,
2,451154,The Catcher in the Rye,51.5995788,-0.196028,,,,,bar,,,,,
3,451271,The Tally Ho,51.6141038,-0.1765556,,,,,bar,,,,,
4,12242503,Railway Bell,51.5920158,0.0279621,,,,,bar,,,,,
5,12243302,The George,51.5759872,0.0282186,,,,,bar,,,,,
6,13353276,The Harrow,51.409935,-0.444153,,,,,bar,,,,,
7,15262028,The Monkey Puzzle,51.5164813,-0.1698266,,,,,bar,,,,,
8,16956816,Gate 6,51.413529,-0.3968673,,,,,,,,,,
9,18235090,The Arab Boy,51.4628591,-0.2266975,,,,,bar,,,,,
10,19828422,The Anglers,51.3902487,-0.4224129,,,,,bar,,,,,
11,20627020,The Edmund Tylney,51.2953245,-0.3275202,,,,,bar,,,,,
12,20692145,The Penny Black,51.2954895,-0.33019,,,,,bar,,,,,
13,20821133,The Union Bar,51.5004234,-0.1777428,,,,,bar,,,,,
14,20849687,,51.4110074,-0.3340174,,,,,cafe,,,,,
15,20910122,Stud Gate,51.4073812,-0.3238188,,,,,,,,,,
16,20973312,Kings Arms,51.4691887,-0.2100687,,,,,bar,,,,,
17,20973316,The Waterside,51.4727261,-0.1811598,,,,,bar,,,,,
18,21090052,Richmond Gate,51.4501174,-0.2961781,,,,,,,,,,
19,21090062,Roehampton Gate,51.4539934,-0.2571322,,,,,,,,,,
20,21090123,Petersham Gate,51.4462638,-0.2997614,,,,,,,,,,
21,21494027,Marlborough Gate,51.5114584,-0.1759013,,,,,,,,,,
22,21593236,Ship Tavern,51.5172349,-0.1192033,,,,,bar,,,,,
23,21593237,The Polish Bar (Na Zdrowie),51.5173465,-0.1189566,,,,,bar,,,,,
24,21593238,All Bar One,51.5163376,-0.119321,,,,,bar,,,,,
25,21686579,White Haus,51.5154029,-0.1043348,,,,,bar,,,,,
26,21693791,The Saint,51.5150736,-0.0997325,,,,,bar,,,,,
27,21979927,,51.3981188,-0.4129625,,,,,cafe,,,,,
28,21980919,The Manor Inn,51.3886519,-0.4228087,,,,,bar,,,,,
29,25471087,Marquess of Anglesey,51.5128467,-0.1212167,,,,,bar,,,,,
30,25473538,The Liberty Bounds,51.509731,-0.0785318,,,,,bar,,,,,
31,25475187,The Cheshire Cheese,51.5114165,-0.0776978,,,,,bar,,,,,
32,25475389,Woburn Cafe,51.5265807,-0.1292505,,,,,cafe,,,,,
33,25475914,The Swan,51.5210868,-0.1227561,,,,,bar,,,,,
34,25497832,Cafe Angel,51.5247641,-0.1161125,,,,,cafe,,,,,
35,25501630,McGlynn's,51.5284488,-0.1233084,,,,,bar,,,,,
36,25507019,The Gurkha Soldier,51.5050612,-0.1249613,,,artwork,,,,,,,
37,25510381,Crown & Cushion,51.499414,-0.1139889,,,,,bar,,,,,
38,25523569,Shortlands Tavern,51.4053384,0.0034181,,,,,bar,,,,,
39,25524219,The Railway,51.3803526,-0.0133037,,,,,bar,,,,,
40,25524252,Blewcoat School,51.4982962,-0.1360645,,,attraction,,,,,,,
41,25531623,Shepherd's Bush (Central Line),51.5047634,-0.2184386,,,,subway_entrance,,,,,,
42,25592547,The Duke of York,51.5089598,-0.3385051,,,,,bar,,,,,
43,25597580,The Islington,51.5344323,-0.1087008,,,,,bar,,,,,
44,25597628,The Angelic,51.5347892,-0.1072883,,,,,bar,,,,,
45,25717653,The Old Ale Emporium,51.5780132,-0.0990941,,,,,bar,,,,,
46,25717655,The Beaconsfield,51.5763738,-0.0987516,,,,,bar,,,,,
47,25729218,The Brockley Jack,51.4534062,-0.038511,,,,,bar,,,,,
